x,y,label
-5519961.267680335,546.8326306884354,Other
-560456728.2648102,-1465.7328303589793,Other
-14922374.264685862,-43.75597107666302,Other
202321775.74410802,-1126.1833393398756,Other
-395148345.28246284,2302.5613842964917,Other
-77659562.27565536,1860.3202097643723,D#
213466115.74232593,-760.5270081653949,Other
318202061.7466294,-1294.881177655205,Other
137494483.7224337,2789.7752730925404,Other
-14927379.252964184,-2254.6464224454717,Other
170032882.74461553,-1307.4759817646877,Other
159069148.7460593,-1609.201959042899,D#
267786917.7399556,-169.19195731174375,Other
232210666.74659786,-1516.8250856050488,Other
-141400603.27551547,1664.8309120426127,Other
-211677482.27890226,2117.761481935118,Other
-1086582281.2671402,-2421.785446143519,Other
152968644.73392755,663.2112077630732,Other
284741738.74128354,-374.8374962161575,Other
214649655.74154395,-609.8207797640227,Other
252271521.74561659,-1278.7883480288,Other
-181965935.28157738,2701.144870068425,Other
-234318166.26079643,-1358.804217690156,Other
286526193.74319214,-730.2092733742049,Other
-27787762.272711355,1436.8215237596567,Other
225328550.7323464,1153.911438159553,Other
258978755.74672467,-1469.737393634229,Other
42894968.74330607,-1397.4417269681924,Other
189304594.74446607,-1228.2331295276465,Other
222354163.73397458,838.8303421606655,Other
-151795074.26778144,178.17355278263534,Other
-457851802.35635114,16076.82877578415,Other
203980117.737142,191.86589200674462,D#
287864328.7432368,-735.1019202827794,Other
45328973.74758524,-2198.2717606721317,Other
297697643.7437961,-814.6198157285849,Other
174843132.73062727,1344.3522685495964,Other
-336130546.2782989,1672.921890970176,Other
25108073.738402534,-519.623366659371,Other
127135604.74075142,-692.277060382387,Other
103886500.74140263,-876.7698736628464,Other
190554569.74217334,-792.5611046512539,D#
271713391.73551244,679.5399716701163,D#
-154029684.2672677,75.03193113769137,Other
-258578508.28362155,2883.810253547282,Other
158054352.74501064,-1413.8000253543635,Other
223556580.73864958,-40.806881859377924,Other
210027601.74347255,-986.1953894933522,Other
-908335389.2756832,-336.29746752440406,Other
105778118.70169997,6617.948185067446,D#
48910795.732311144,692.8309528934187,Other
103145100.74462758,-1487.046475936247,Other
-252431580.25969645,-1614.1188863974917,Other
-1026035905.2654386,-2585.436243835087,Other
309316338.74647087,-1288.6975145859521,Other
244782749.74561688,-1298.2742617106173,Other
208709211.7481655,-1875.0306180296081,Other
-377889090.2666269,-639.424395087394,Other
247430283.74123383,-464.38620331958373,Other
249835938.7427116,-736.8433515927081,Other
243552321.7404867,-333.5681782660463,Other
60443616.747865,-2211.187092131121,Other
-275556689.30207825,6316.9689146502205,Other
147898046.74251118,-969.6752015192974,Other
336588626.74526936,-989.5192820825863,Other
-623619700.2796289,1162.8723047217495,Other
-259683379.25794905,-1962.7138978586293,Other
325964106.7423786,-472.86675982149075,Other
231641688.73613116,456.43922376569617,Other
283830694.7430789,-716.005913462393,Other
26209090.733545624,399.5461164645471,Other
140379228.7447373,-1409.586660920407,Other
103194318.70447075,6089.445141537945,Other
-1019265210.2796634,115.73584196929335,Other
-51141490.26278173,-498.58219559501134,Other
171991791.74603826,-1571.2048645900204,Other
-162331548.26232406,-879.4545003255331,Other
100456306.74540828,-1641.5478625557685,Other
164236514.74200043,-829.4629070397367,Other
-623964364.295768,4204.055803687784,Other
270405319.7456486,-1236.3606822526863,Other
179860743.74344406,-1060.4164155105782,Other
192206643.72136474,3137.31356637215,Other
294611741.74312055,-695.2647990847626,Other
290599280.7414554,-392.01096182011634,Other
